epoch,loss,henrici,curvature,spectral_radius
1,0.25112627638924506,0.6768833971669959,0.05234215781092644,0.19170640408992767
5,0.059473718005803325,0.5483036686113107,0.9315096735954285,0.9025999903678894
10,0.0007365185057654256,0.877459018758639,1.1496549844741821,0.4145876169204712
15,0.00045082562099841813,0.8961823698170853,1.209149718284607,0.3853656053543091
20,0.000319422806158752,0.8960401680301208,1.2756249904632568,0.38284844160079956
25,0.00023942545709771014,0.8975998724377108,1.3415149450302124,0.3845856785774231
30,0.00018844434253555993,0.8996117934752704,1.4047374725341797,0.3948107361793518
35,0.00016941728902184554,0.9025566841943043,1.462648868560791,0.3838406205177307
40,0.00013398358832120955,0.9041142163204536,1.515421986579895,0.38871634006500244
45,0.00012406264807307912,0.906695432148707,1.5657707452774048,0.3986869752407074
50,9.897381119850663e-05,0.9085564078035978,1.6110453605651855,0.39801400899887085
55,9.416044321692278e-05,0.9097993930332687,1.6561647653579712,0.37577542662620544
60,8.6678579053466e-05,0.9155223539668759,1.695963740348816,0.3862132132053375
65,7.426755309420367e-05,0.9166908563770707,1.7310432195663452,0.3567647933959961
70,6.998640791636952e-05,0.9156824770224272,1.7675940990447998,0.37650996446609497
75,6.507851832148228e-05,0.9199104175427882,1.7997081279754639,0.3743428587913513
80,5.8526905993330144e-05,0.9202946139504039,1.8318649530410767,0.3628390431404114
85,5.749858176005223e-05,0.9232536640617532,1.8602632284164429,0.358290433883667
90,6.821505326849049e-05,0.9213297482732434,1.8884841203689575,0.3685910701751709
95,5.990192667307002e-05,0.9258770739920665,1.9114152193069458,0.33642083406448364
100,4.973706780865248e-05,0.9280614942362742,1.9349236488342285,0.33101552724838257
105,4.965742071714973e-05,0.9286180085122421,1.9551159143447876,0.32446324825286865
110,4.2546772273189776e-05,0.9280841088476007,1.9773651361465454,0.3507896363735199
115,4.927701417229048e-05,0.9265039576391196,1.9987785816192627,0.37848609685897827
120,4.018847768395884e-05,0.9296719649410539,2.01397442817688,0.3392036557197571
125,3.9263038659907666e-05,0.9309371980446813,2.033550500869751,0.32014453411102295
130,3.154270621786465e-05,0.9347670157278046,2.0533127784729004,0.30344682931900024
135,3.971144407490013e-05,0.9319839272848464,2.070117473602295,0.33185169100761414
140,3.5916538000756487e-05,0.9294815466700281,2.081592082977295,0.34844762086868286
145,3.8430690232592995e-05,0.9318994663098245,2.0961058139801025,0.34276559948921204
150,3.4618759004402934e-05,0.9316964206269188,2.105208158493042,0.3518998324871063
155,4.118918026975852e-05,0.9346177885571655,2.120245933532715,0.31853166222572327
160,3.776689012621289e-05,0.9319874973412184,2.1333072185516357,0.38169121742248535
165,3.071302407695311e-05,0.935107275391016,2.142717123031616,0.3160962462425232
170,2.3909754212757932e-05,0.9339725707993567,2.155313491821289,0.32238271832466125
175,3.399399658167479e-05,0.9343768246602238,2.165689706802368,0.3578122854232788
