step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac
1000,42,B,304.40729991692797,5.718366607030233,0.007314558309667249,0.15414055,0.0037126044498666934
2000,42,B,158.68145155819042,5.066898743311564,0.011993294634850198,0.17662685,0.005913047315410328
3000,42,B,116.93834092847793,4.761646795272827,0.007859717069887646,0.18617374,0.006264945274027457
4000,42,B,92.11035029856964,4.522987318038941,0.009251467075223238,0.19879413,0.008013242321617622
5000,42,B,79.62265390462471,4.37729864915212,0.00811337779549991,0.20260178,0.009093724317821794
6000,42,B,72.19564155284111,4.279379677772522,0.009792939260894178,0.20339021,0.009604679573205592
7000,42,B,67.44626619193404,4.211331224441528,0.012761370933133804,0.22301601,0.011195548508981345
8000,42,B,63.20852383655444,4.1464391628901165,0.007995285956688162,0.21665625,0.011071310278837542
9000,42,B,59.66343205907076,4.0887193044026695,0.008573852582694655,0.22144683,0.011531382407075711
10000,42,B,57.99340114005627,4.060329230626424,0.009554289088529698,0.22361602,0.01276675053583077
11000,42,B,56.21737372306856,4.029225850105286,0.011164080301920587,0.22325568,0.012800289300255008
12000,42,B,54.4066601936462,3.9964865763982136,0.010476935268227565,0.22636713,0.0138091202962684
13000,42,B,53.177091170020454,3.9736276865005493,0.009269853884877744,0.2227076,0.012735250116289303
14000,42,B,52.20886114099777,3.955252234141032,0.00903047315435472,0.22695395,0.01330357368036115
15000,42,B,51.32927512574757,3.9382612546284994,0.008714850120295103,0.2250069,0.013094107967850136
16000,42,B,50.74449402801121,3.9268031199773152,0.008787186504189491,0.22709359,0.013433024965150172
17000,42,B,50.602664292529724,3.9240042289098103,0.009176073791154843,0.23146002,0.013604794976691086
18000,42,B,50.274242804107615,3.917492874463399,0.008028339373519997,0.22918145,0.013467543347465158
19000,42,B,50.108527655769116,3.914191206296285,0.008392874991971673,0.2300065,0.013422051783469417
20000,42,B,50.10222452023854,3.914065408706665,0.008708446508918716,0.23030697,0.013458155235597107
