step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac
1000,456,A,311.65745124541434,5.741904671986898,0.00925974264643551,0.14662488,0.0036140337975195543
2000,456,A,162.3917220172994,5.09001145362854,0.00790070864110211,0.1732999,0.004766014523426033
3000,456,A,120.40242287202543,4.790839656194051,0.009691221293281094,0.18867579,0.0063582932168777615
4000,456,A,98.58270999280738,4.590895891189575,0.012938648766162353,0.19858888,0.00798240753566976
5000,456,A,84.18316241637903,4.432994929949443,0.01206338318344815,0.20648721,0.00916755099634477
6000,456,A,75.25011731290493,4.320817462603251,0.008584672703462496,0.20891078,0.009439090979694005
7000,456,A,69.47797581401866,4.24100980758667,0.011411989561093397,0.2044177,0.009730493712325292
8000,456,A,64.9044975486404,4.172916920979818,0.01344159506504832,0.22424866,0.010677913418699756
9000,456,A,61.7915689807951,4.1237669308980305,0.010382429415883581,0.21942618,0.010790836995752413
10000,456,A,59.449091199428175,4.085120336214701,0.011236611191743337,0.21639422,0.011476833798443881
11000,456,A,57.27314255949913,4.047831797599793,0.010897879070705834,0.22298859,0.011629781166697663
12000,456,A,55.82774619373961,4.02227098941803,0.009861136854084487,0.2225103,0.011337812007745326
13000,456,A,54.3549179173139,3.9955350955327353,0.010132796468298422,0.2220852,0.011397435576995176
14000,456,A,53.10896474512165,3.972345741589864,0.009817049113753574,0.2249686,0.012246637502036927
15000,456,A,52.450728526143436,3.959874224662781,0.00876095924502104,0.22475882,0.01230280345659164
16000,456,A,51.71478553080246,3.945743727684021,0.010253816866407197,0.22716863,0.011992747692733842
17000,456,A,51.34662929445243,3.9385992924372357,0.009391632983887116,0.22671251,0.012086457873842082
18000,456,A,51.09431541524841,3.9336732467015585,0.009579126382964905,0.22675233,0.012095223080561249
19000,456,A,50.967532576201975,3.9311888138453166,0.009230167569677821,0.22676626,0.012147740747281581
20000,456,A,50.93810502282743,3.930611268679301,0.009026604820700267,0.22663943,0.012086802927075448
