step,layer,henrici,curvature,excess_noise,frobenius,alpha,beta
500,0,0.7571106257871366,13.785365104675293,156.0786590576172,16.50107192993164,1.0,0.0
500,1,0.753158004582384,13.220606803894043,155.61302947998047,16.56291389465332,1.0,0.0
500,2,0.7503760584273816,12.413518905639648,153.17890167236328,16.49378776550293,1.0,0.0
500,3,0.7417414751251475,11.478714942932129,146.53345489501953,16.3198184967041,1.0,0.0
500,4,0.7408897073603422,11.343164443969727,145.68673706054688,16.291316986083984,1.0,0.0
500,5,0.7398110660641656,10.920597076416016,142.1691665649414,16.11690902709961,1.0,0.0
1000,0,0.7743415526814611,17.460556030273438,183.14936065673828,17.477123260498047,1.0,0.0
1000,1,0.7630947643706141,15.212797164916992,175.49087524414062,17.359956741333008,1.0,0.0
1000,2,0.7606945558204599,14.862619400024414,174.0816421508789,17.34466552734375,1.0,0.0
1000,3,0.7567600009720772,14.640857696533203,172.8970947265625,17.375425338745117,1.0,0.0
1000,4,0.7566317822649292,15.884135246276855,179.8797149658203,17.72581672668457,1.0,0.0
1000,5,0.7545453263119094,16.16060447692871,180.49008178710938,17.804948806762695,1.0,0.0
1500,0,0.7942635616189079,23.062259674072266,230.13548278808594,19.099706649780273,1.0,0.0
1500,1,0.7697606933178818,19.180213928222656,208.01058959960938,18.736425399780273,1.0,0.0
1500,2,0.7707933031219404,18.6146297454834,207.13682556152344,18.67198944091797,1.0,0.0
1500,3,0.7691655407519451,18.947376251220703,210.11427307128906,18.845495223999023,1.0,0.0
1500,4,0.775206360055524,21.842185974121094,226.97808837890625,19.434545516967773,1.0,0.0
1500,5,0.7660393798768276,23.997621536254883,224.78469848632812,19.571863174438477,1.0,0.0
2000,0,0.8088319913933122,28.45830535888672,279.7129211425781,20.6774959564209,1.0,0.0
2000,1,0.7725852290553594,22.89236831665039,238.08999633789062,19.97210121154785,1.0,0.0
2000,2,0.7767926330673538,22.280555725097656,240.1484832763672,19.94961166381836,1.0,0.0
2000,3,0.7779288028025053,22.45749855041504,245.42202758789062,20.13801383972168,1.0,0.0
2000,4,0.7897538541903464,27.0806884765625,273.6903076171875,20.94776153564453,1.0,0.0
2000,5,0.7704525563855298,30.436174392700195,257.56529235839844,20.83039665222168,1.0,0.0
2500,0,0.8189151520141539,33.8414306640625,329.1755828857422,22.1551513671875,1.0,0.0
2500,1,0.7742604293294288,26.079696655273438,263.2062072753906,20.953702926635742,1.0,0.0
2500,2,0.7774582278979428,25.408266067504883,266.95033264160156,21.015405654907227,1.0,0.0
2500,3,0.7816464713015476,26.139921188354492,279.00404357910156,21.3695125579834,1.0,0.0
2500,4,0.7938819223402848,30.826274871826172,308.8448486328125,22.136760711669922,1.0,0.0
2500,5,0.7731273511040325,35.966156005859375,285.1855926513672,21.843013763427734,1.0,0.0
3000,0,0.8243563788076415,38.119319915771484,372.63726806640625,23.416805267333984,1.0,0.0
