step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac,disc_accuracy,mean_ns_correct,mean_ns_incorrect,gate_scale
1000,123,H,294.1182522428282,5.68398190498352,0.00912938964133168,0.16323349,0.004224594822951072,0.8162352941176471,0.6016,0.821,0.5
2000,123,H,149.42951755719426,5.0068248271942135,0.0186147598846286,0.16414346,0.005032428213891655,0.7885686274509804,0.5815,0.809,0.5
3000,123,H,110.57861637967329,4.705726728439331,0.0134536787855859,0.18322012,0.00695252340590549,0.7779803921568628,0.553,0.792,0.17718873918056488
4000,123,H,91.16416445144634,4.51266188621521,0.0075296879282184676,0.2006382,0.007944585807181227,0.770313725490196,0.5376,0.772,0.08083388209342957
5000,123,H,78.04229878315692,4.357250971794128,0.009353589095321352,0.2117448,0.008391003460207613,0.7594313725490196,0.5254,0.757,0.03217470273375511
6000,123,H,71.137308760341,4.264611935615539,0.009837882415921088,0.21395296,0.008072535829189821,0.754921568627451,0.508,0.7417,0.016541171818971634
7000,123,H,65.96772211822422,4.189165563583374,0.025893548647562655,0.19638406,0.006760347168920116,0.7516666666666667,0.4968,0.735,0.006779835559427738
8000,123,H,62.497850550260864,4.135132164955139,0.02613115327498493,0.20038828,0.006526403623793062,0.7506470588235294,0.49,0.7285,0.003725828602910042
9000,123,H,59.232423017078396,4.081469078063964,0.03966504910412956,0.19090728,0.006278538812785388,0.7484117647058823,0.4915,0.732,0.002151001477614045
10000,123,H,57.02915518885119,4.043562631607056,0.039092417754378966,0.19425185,0.006789318946443185,0.743764705882353,0.4863,0.7246,0.001441574888303876
11000,123,H,55.06096488606865,4.008441023826599,0.04884587443108653,0.1852768,0.005809532499923959,0.7446470588235294,0.4844,0.727,0.0008637395221740007
12000,123,H,53.6406917148454,3.9823079538345336,0.046137738489637196,0.18847129,0.005923845002900852,0.7439019607843137,0.4783,0.724,0.0006301593966782093
13000,123,H,52.220611385366766,3.9554772710800172,0.05358327697305117,0.18638691,0.005511083743842364,0.7404901960784314,0.4841,0.7256,0.00044153755879960954
14000,123,H,51.46731181735355,3.9409468841552733,0.05906241315953872,0.1812464,0.005489591364687741,0.7413921568627451,0.481,0.726,0.0003185381065122783
15000,123,H,50.49657575319344,3.921905527114868,0.055973659122691435,0.18460445,0.0061581308989633295,0.7396274509803922,0.479,0.725,0.0002220751775894314
16000,123,H,49.70318457074141,3.9060690069198607,0.05735296144672469,0.18456522,0.0058054701809940705,0.7397058823529412,0.4749,0.7207,0.00015406178135890514
17000,123,H,49.426867177844535,3.9004941463470457,0.05849136397417854,0.1829487,0.00546651757982358,0.7400588235294118,0.4734,0.722,0.00011294235446257517
18000,123,H,49.18105435749926,3.8955084753036497,0.058414671579996746,0.18315075,0.005592493630771142,0.7410588235294118,0.4685,0.7183,6.763176497770473e-05
19000,123,H,49.0344803955829,3.8925237321853636,0.05882210729636398,0.18362895,0.005477576172543649,0.7416666666666667,0.4685,0.7197,4.1279934521298856e-05
20000,123,H,49.02476074989669,3.8923254919052126,0.058717265316084316,0.1834784,0.005475190542852699,0.7419803921568627,0.4678,0.721,3.178208498866297e-05
