step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac,disc_accuracy,mean_ns_correct,mean_ns_incorrect,gate_scale
1000,42,H,297.1368083764497,5.694192667007446,0.009804645909982571,0.15567553,0.0028645966545603357,0.8159019607843138,0.6255,0.8374,0.5
2000,42,H,150.70499770305648,5.015324268341065,0.011160892336976294,0.17102581,0.005716432731273986,0.7937450980392157,0.569,0.81,0.5
3000,42,H,109.08466708120483,4.692124342918396,0.013331835494321929,0.1835469,0.007141868512110726,0.7803529411764706,0.54,0.7803,0.172861710190773
4000,42,H,87.25159345854058,4.468795824050903,0.01238967632779887,0.19855234,0.007768924302788844,0.7648823529411765,0.536,0.763,0.08267418295145035
5000,42,H,76.19365187982075,4.333278150558471,0.008670728945264631,0.21420944,0.008961609620721555,0.7574901960784314,0.526,0.7534,0.033694081008434296
6000,42,H,69.59030424533267,4.242625250816345,0.0107576171463611,0.20974638,0.008643753858818687,0.7512745098039215,0.521,0.7524,0.018472502008080482
7000,42,H,64.90902439228911,4.172986664772034,0.031944322688906825,0.19381702,0.006359772950161966,0.7451960784313726,0.5137,0.7397,0.008456027135252953
8000,42,H,62.54513149544145,4.13588840007782,0.023689882745929775,0.2022112,0.006825226514067716,0.7462156862745098,0.5083,0.737,0.004844641778618097
9000,42,H,59.529133466054255,4.086465830802918,0.033908369213927016,0.19552079,0.0068841124304824895,0.7441960784313726,0.5044,0.733,0.0029096966609358788
10000,42,H,57.250851591280274,4.047442517280579,0.03956536983976177,0.19231728,0.006265512440220352,0.739078431372549,0.4988,0.726,0.0020162994042038918
11000,42,H,54.75496537128329,4.002868056297302,0.0367764092800664,0.195227,0.006618294423024379,0.7390392156862745,0.504,0.7324,0.001246149535290897
12000,42,H,53.67794040067921,3.9830021238327027,0.04702903195923449,0.18847695,0.006262410264243165,0.737078431372549,0.4924,0.7207,0.0009139359463006258
13000,42,H,52.3710682504688,3.9583543062210085,0.05217386131660611,0.18456979,0.006380172387350082,0.7360196078431372,0.4993,0.73,0.0005970160709694028
14000,42,H,51.37689273812658,3.9391885137557985,0.05262000594419591,0.18566488,0.006284077257185103,0.7347254901960785,0.493,0.723,0.0003654849424492568
15000,42,H,50.52675844071722,3.9225030660629274,0.055938160335316386,0.18258868,0.006548262548262548,0.7361372549019608,0.4924,0.7256,0.00022752294898964465
16000,42,H,50.04816132474949,3.912985768318176,0.05320405898374669,0.18583192,0.006466784244562022,0.7348823529411764,0.4897,0.722,0.00017369694251101464
17000,42,H,49.623398253136436,3.9044624614715575,0.05380297460743026,0.18594621,0.006385023091467006,0.7340588235294118,0.491,0.724,0.0001361714384984225
18000,42,H,49.41987063694682,3.9003525829315184,0.05579871551663268,0.18523718,0.0065850779648381685,0.7346274509803922,0.4878,0.723,0.00010079566709464416
19000,42,H,49.31168460424618,3.8981610631942747,0.055789667568954766,0.18505386,0.006396919541657609,0.7357254901960785,0.486,0.722,7.537151395808905e-05
20000,42,H,49.28860736739058,3.8976929664611815,0.05578302738713283,0.18517171,0.0064289707435244425,0.7351764705882353,0.4866,0.722,4.559367152978666e-05
