step,layer,henrici,curvature,excess_noise,frobenius,alpha,beta
500,0,0.7549865924776175,13.592513084411621,153.32466888427734,16.40085220336914,1.0,0.0
500,1,0.7542153781837391,13.577713012695312,156.64430236816406,16.59440040588379,1.0,0.0
500,2,0.7469902635980115,12.490129470825195,151.8428955078125,16.496135711669922,1.0,0.0
500,3,0.7471445879204774,11.633580207824707,148.52342987060547,16.311450958251953,1.0,0.0
500,4,0.74223497215033,11.354960441589355,145.83224487304688,16.269922256469727,1.0,0.0
500,5,0.7419031082017864,10.87418270111084,142.7472381591797,16.104093551635742,1.0,0.0
1000,0,0.7721427449524225,16.73138427734375,178.37940216064453,17.297157287597656,1.0,0.0
1000,1,0.7618529418383699,15.143003463745117,173.26315307617188,17.277523040771484,1.0,0.0
1000,2,0.7592468445918653,14.900277137756348,173.634765625,17.355417251586914,1.0,0.0
1000,3,0.7606029731849686,14.731012344360352,174.33899688720703,17.359567642211914,1.0,0.0
1000,4,0.7560563861327797,15.903535842895508,180.3408203125,17.762014389038086,1.0,0.0
1000,5,0.7551877694623266,16.318248748779297,181.30291748046875,17.829833984375,1.0,0.0
1500,0,0.7944166380400455,22.460214614868164,226.01390075683594,18.92426109313965,1.0,0.0
1500,1,0.770272321918668,19.207849502563477,206.3061065673828,18.647113800048828,1.0,0.0
1500,2,0.7712765196603321,18.834775924682617,209.63058471679688,18.77227020263672,1.0,0.0
1500,3,0.7714926834776,19.650806427001953,213.72023010253906,18.949190139770508,1.0,0.0
1500,4,0.7761407683405163,21.999656677246094,230.53726196289062,19.562744140625,1.0,0.0
1500,5,0.7684772083925119,23.832927703857422,226.54957580566406,19.586214065551758,1.0,0.0
2000,0,0.8080968184525391,27.8520450592041,274.8995361328125,20.517440795898438,1.0,0.0
2000,1,0.7736688947923274,22.933469772338867,235.0658721923828,19.817068099975586,1.0,0.0
2000,2,0.775417714724488,22.564340591430664,242.12757873535156,20.067169189453125,1.0,0.0
2000,3,0.7762514486967974,23.68985939025879,248.8773193359375,20.323097229003906,1.0,0.0
2000,4,0.7869571420378038,26.726228713989258,274.1521759033203,21.039941787719727,1.0,0.0
2000,5,0.7752213370915197,31.676607131958008,263.2874755859375,20.930959701538086,1.0,0.0
2500,0,0.8189408760796454,32.98895263671875,324.0472869873047,21.981203079223633,1.0,0.0
2500,1,0.7754573783093545,26.068328857421875,259.5526123046875,20.775646209716797,1.0,0.0
2500,2,0.7769223744324225,25.788694381713867,269.91632080078125,21.14640998840332,1.0,0.0
2500,3,0.779687573266497,27.67833137512207,281.393310546875,21.514745712280273,1.0,0.0
2500,4,0.7924963848321863,31.59838104248047,314.2971954345703,22.370336532592773,1.0,0.0
2500,5,0.7795824740013142,38.849266052246094,293.36207580566406,21.97049903869629,1.0,0.0
3000,0,0.825775960380904,37.688777923583984,369.96922302246094,23.2927303314209,1.0,0.0
3000,1,0.7753816061217751,28.401723861694336,279.19602966308594,21.54958152770996,1.0,0.0
3000,2,0.7744615899815763,28.70014762878418,291.8491973876953,22.058666229248047,1.0,0.0
3000,3,0.7790821460090072,30.902938842773438,307.30918884277344,22.501136779785156,1.0,0.0
3000,4,0.795451464394334,36.25901794433594,351.19883728027344,23.55931282043457,1.0,0.0
3000,5,0.7814431859596493,42.95078659057617,316.62437438964844,22.77058982849121,1.0,0.0
3500,0,0.8302107680150788,41.320316314697266,410.1414794921875,24.393718719482422,1.0,0.0
3500,1,0.7739544504845085,29.839908599853516,293.16624450683594,22.12286949157715,1.0,0.0
3500,2,0.7734397970077002,31.564069747924805,310.7827453613281,22.79302406311035,1.0,0.0
3500,3,0.7768067201493607,34.106082916259766,329.0818786621094,23.3527889251709,1.0,0.0
3500,4,0.7973081963322668,40.841651916503906,384.3371276855469,24.5883731842041,1.0,0.0
3500,5,0.7823813955911516,47.64430236816406,340.47503662109375,23.58434295654297,1.0,0.0
4000,0,0.8329577748493145,44.43027877807617,445.49560546875,25.33951187133789,1.0,0.0
4000,1,0.7732686885569978,31.242727279663086,305.8585205078125,22.61672592163086,1.0,0.0
4000,2,0.768569203006093,33.851417541503906,323.8008728027344,23.412931442260742,1.0,0.0
4000,3,0.7702189439308649,37.696163177490234,346.4800109863281,24.16708755493164,1.0,0.0
4000,4,0.7979719144070418,44.580421447753906,412.97789001464844,25.46686553955078,1.0,0.0
4000,5,0.7845851795231296,49.667030334472656,364.65821838378906,24.338998794555664,1.0,0.0
4500,0,0.8352445205173675,47.0101318359375,476.7058868408203,26.140356063842773,1.0,0.0
4500,1,0.7720655868804323,32.3336067199707,316.6711730957031,23.048885345458984,1.0,0.0
4500,2,0.7667684353510474,36.24949645996094,336.1888122558594,23.912630081176758,1.0,0.0
4500,3,0.7674904116475437,41.420623779296875,363.0926208496094,24.827653884887695,1.0,0.0
4500,4,0.797090393104572,47.88007736206055,437.91673278808594,26.25354766845703,1.0,0.0
4500,5,0.7902686752910794,52.17789840698242,392.02685546875,25.054317474365234,1.0,0.0
5000,0,0.8346049084003268,48.89937210083008,500.03741455078125,26.79291534423828,1.0,0.0
5000,1,0.7697330308266489,33.122230529785156,323.4980926513672,23.36659049987793,1.0,0.0
5000,2,0.7624937133520582,37.291236877441406,342.2662353515625,24.2630672454834,1.0,0.0
5000,3,0.764144140765919,43.095123291015625,373.9400634765625,25.306095123291016,1.0,0.0
5000,4,0.7964795772976961,49.80793762207031,456.69500732421875,26.831079483032227,1.0,0.0
5000,5,0.788307104430152,54.12886047363281,409.8770751953125,25.6821231842041,1.0,0.0
5500,0,0.8345814765838285,50.728843688964844,522.4552612304688,27.3876895904541,1.0,0.0
5500,1,0.7670333046493426,33.79880905151367,329.31065368652344,23.658552169799805,1.0,0.0
5500,2,0.760640642306471,38.29837417602539,348.15687561035156,24.530567169189453,1.0,0.0
5500,3,0.7613499517425185,46.19850158691406,384.41229248046875,25.752178192138672,1.0,0.0
5500,4,0.7939625938781101,51.108909606933594,470.7650451660156,27.327611923217773,1.0,0.0
5500,5,0.7822558165900516,54.61405944824219,420.29766845703125,26.207721710205078,1.0,0.0
6000,0,0.8341337085324312,51.746212005615234,539.3900909423828,27.842966079711914,1.0,0.0
6000,1,0.7647005433644037,34.04877471923828,332.51373291015625,23.84584617614746,1.0,0.0
6000,2,0.7585473971127201,39.33897018432617,352.1962890625,24.740549087524414,1.0,0.0
6000,3,0.7602690881388767,48.35203552246094,392.8270263671875,26.069522857666016,1.0,0.0
6000,4,0.7911762871878506,51.54713821411133,479.162841796875,27.667373657226562,1.0,0.0
6000,5,0.7824994298938677,56.06908416748047,434.9378662109375,26.651958465576172,1.0,0.0
6500,0,0.8342189374913183,52.78810501098633,554.836669921875,28.235939025878906,1.0,0.0
6500,1,0.761482262499213,34.2918586730957,334.16932678222656,24.00619125366211,1.0,0.0
6500,2,0.7563103728870042,40.39133071899414,354.7740478515625,24.904373168945312,1.0,0.0
