step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac,disc_accuracy,mean_ns_correct,mean_ns_incorrect,gate_scale
500,42,G,49.744792492429106,3.9069057846069337,0.010090178788877004,0.22816266,0.012309233442866791,0.6637745098039216,0.4055,0.5747,0.5
1000,42,G,49.76256254397449,3.907262945175171,0.010139327610240265,0.22823983,0.01230708529978603,0.6750049019607843,0.3928,0.5854,0.5
1500,42,G,49.438647915615256,3.900732464790344,0.009794514730864885,0.2280695,0.01219947315280846,0.6767058823529412,0.3926,0.588,0.22256791591644287
2000,42,G,49.36675089142466,3.899277138710022,0.009375573401357614,0.22788952,0.012265654648956357,0.6784117647058824,0.3916,0.5884,0.0964934229850769
2500,42,G,49.353037037763904,3.8989993047714235,0.009196855638541427,0.22784108,0.012313531979502752,0.6791421568627451,0.3887,0.587,0.05464424565434456
3000,42,G,49.347644427180114,3.8988900327682496,0.009148468615962016,0.2278194,0.012274828630639247,0.6795637254901961,0.387,0.588,0.032898154109716415
3500,42,G,49.34516787362261,3.8988398456573488,0.009133679371254132,0.22779368,0.012235851348068982,0.6797352941176471,0.3848,0.5874,0.021862797439098358
4000,42,G,49.34438881439802,3.8988240575790405,0.009124313242295212,0.22779465,0.012220392115190479,0.6840441176470589,0.3882,0.5923,0.015589031390845776
4500,42,G,49.34345071259094,3.898805046081543,0.00909107967451508,0.22778872,0.01221280180952887,0.684906862745098,0.3872,0.593,0.0112913204357028
5000,42,G,49.34325518872667,3.8988010835647584,0.009016320471670116,0.22777987,0.01222807523568078,0.6864264705882352,0.3867,0.5933,0.008471458218991756
