step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac
1000,123,D,335.6633978556746,5.816108865737915,0.006477845444398772,0.14895317,0.0029433085037244414
2000,123,D,181.67937398173154,5.2022434520721434,0.01326554650886386,0.17375205,0.0054827563726448925
3000,123,D,135.19531936222867,4.906720542907715,0.01273503392350439,0.17310631,0.004981428590584229
4000,123,D,113.6001603082186,4.7326849174499515,0.012834985415140792,0.17901541,0.006533990362364216
5000,123,D,100.80434139865724,4.61318142414093,0.017714886637294983,0.17985125,0.006529458406591512
6000,123,D,91.33132015401793,4.514493775367737,0.015621753711326451,0.18665357,0.006838656552898404
7000,123,D,83.17546762547043,4.420952444076538,0.013101010490866266,0.19372587,0.008086709852237606
8000,123,D,77.9824705626142,4.356484065055847,0.011901918710446827,0.19739853,0.008131469426955501
9000,123,D,74.0191518684151,4.304323868751526,0.013528647778080966,0.19813815,0.009147018975046417
10000,123,D,70.77066138683911,4.259444527626037,0.01252458151649027,0.19963188,0.00847695867482646
11000,123,D,68.27242489405415,4.22350594997406,0.013629102538613708,0.20079495,0.0090145580765078
12000,123,D,66.21302256753332,4.192877159118653,0.012820515782225372,0.20265044,0.0092068297937379
13000,123,D,64.7309666515082,4.170239706039428,0.01433222497678269,0.20338655,0.009347228718428437
14000,123,D,63.483869896127565,4.150785856246948,0.012494215179892142,0.2077896,0.009907447439965411
15000,123,D,62.38499878910832,4.133324842453003,0.01354612447701248,0.20648308,0.009575953553318145
16000,123,D,61.89161690221039,4.1253847408294675,0.012510833571938907,0.20847897,0.010097815694638523
17000,123,D,61.4540697186884,4.118290061950684,0.012638086636861163,0.20785362,0.009814171280480621
18000,123,D,61.1424193224766,4.113205885887146,0.01278805274589389,0.20850003,0.010130405952994916
19000,123,D,61.019847704980684,4.11119918346405,0.013123467594969516,0.20757733,0.010043549064542514
20000,123,D,61.00478716277601,4.110952339172363,0.013422500741248039,0.20709598,0.009909963012628756
