step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac
1000,42,C,306.68627199605055,5.725825309753418,0.008810605223661934,0.14748289,0.003280291441278052
2000,42,C,159.69568489547913,5.073270034790039,0.012580158196243583,0.17474796,0.006104521316194352
3000,42,C,117.32579042872322,4.76495459874471,0.00774862806781445,0.18557073,0.005994278189001408
4000,42,C,92.15120355054384,4.523430744806926,0.009751373428145277,0.19686738,0.007745050474347808
5000,42,C,79.58402675171772,4.37681340376536,0.007562232142180409,0.20389351,0.00883664707598683
6000,42,C,72.23612186972932,4.279940223693847,0.009019549999361722,0.21110578,0.00930854266515739
7000,42,C,67.20986851560781,4.207820089658101,0.012158467255386649,0.22171865,0.011104688308132283
8000,42,C,63.45542431984733,4.150337680180868,0.009506280998778486,0.22248472,0.01076112749636697
9000,42,C,60.036399318664074,4.094951033592224,0.013039995673435188,0.22694317,0.01153621225645603
10000,42,C,58.2397436939107,4.064568003018697,0.015577109436583667,0.23236768,0.012126206734165293
11000,42,C,56.46279493025372,4.033581924438477,0.014606874565673033,0.23331738,0.012118533825460747
12000,42,C,54.232743266774605,3.9932848453521728,0.01096537767672071,0.22897764,0.012620429319961688
13000,42,C,53.43199816312093,3.978409783045451,0.011074699545218272,0.23127085,0.012280437807951254
14000,42,C,52.55479801668599,3.961856396993001,0.014297094532087742,0.23701109,0.012555540171435045
15000,42,C,51.514550807871125,3.9418643077214557,0.011561745849310185,0.23595272,0.012617858248024907
16000,42,C,50.97523363111152,3.931339899698893,0.012824052642373468,0.23762397,0.012770963926296546
17000,42,C,50.62643354606361,3.924473841985067,0.01563552579069449,0.24158147,0.013236095446884543
18000,42,C,50.39366061366781,3.919865385691325,0.013890545040953403,0.23940016,0.013162897992293652
19000,42,C,50.27647750215915,3.91753732363383,0.01391758697484833,0.23977229,0.013045491156082927
20000,42,C,50.26240851166334,3.9172574520111083,0.013706629759345959,0.23998572,0.013053820050109416
