step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac,disc_accuracy,mean_ns_correct,mean_ns_incorrect,gate_scale
1000,456,H,297.7409440102458,5.696223793029785,0.0174687152376362,0.14785638,0.005977774939328139,0.8150588235294117,0.5947,0.8296,0.5
2000,456,H,151.11472436737114,5.018039312362671,0.009106950423296763,0.17359664,0.005298832642960891,0.7918235294117647,0.557,0.8,0.5
3000,456,H,109.95282526549822,4.700051412582398,0.013169419943117627,0.18726552,0.007132746801365491,0.7799803921568628,0.541,0.7856,0.17405258119106293
4000,456,H,86.89777829717592,4.464732465744018,0.00951591834834979,0.20275386,0.007027027027027027,0.7661176470588236,0.537,0.77,0.07494598627090454
5000,456,H,77.1189408220278,4.345348916053772,0.008739236046286191,0.2149749,0.00844114405058885,0.7638431372549019,0.502,0.745,0.02681448869407177
6000,456,H,70.45856086464691,4.255024747848511,0.008160898021623184,0.21676674,0.006651624813197761,0.759078431372549,0.5005,0.7446,0.01371852494776249
7000,456,H,65.89668210389962,4.188088092803955,0.023661856539109166,0.1985759,0.006087290564699625,0.7558039215686274,0.4897,0.734,0.005750458687543869
8000,456,H,62.054535378679276,4.128013601303101,0.02887650409399294,0.19649065,0.0065289330113585545,0.7524117647058823,0.4958,0.741,0.0031825776677578688
9000,456,H,59.36991534848567,4.083787622451783,0.03105346743265787,0.19799386,0.006097377827170877,0.749313725490196,0.4915,0.735,0.0018832872156053782
10000,456,H,57.41378758323531,4.050284476280212,0.036867879400066306,0.19398104,0.0061627696211709266,0.7496078431372549,0.4927,0.738,0.0012452821247279644
11000,456,H,55.2039749551086,4.011034960746765,0.043440446386150286,0.19035596,0.00614336546942003,0.7478431372549019,0.4868,0.7363,0.0008496337104588747
12000,456,H,53.83502138761183,3.9859242105484007,0.05000971027449066,0.1858926,0.006053009690929657,0.7441960784313726,0.4927,0.7407,0.0005902830162085593
13000,456,H,52.256779014246014,3.9561696243286133,0.050993548842037405,0.18596727,0.005641575961980684,0.7467843137254901,0.48,0.731,0.00038250317447818816
14000,456,H,51.311680925300315,3.9379184246063232,0.05648082639656814,0.18389994,0.005467181467181467,0.742764705882353,0.4832,0.736,0.00028149649733677506
15000,456,H,50.33248932980076,3.9186507797241212,0.05446757359598196,0.18718265,0.006048199497534196,0.7427450980392157,0.48,0.7305,0.00020307389786466956
16000,456,H,49.8495683854341,3.909009838104248,0.05825277410768994,0.18333775,0.005898056745514373,0.7437254901960785,0.4763,0.7305,0.00014628768258262426
17000,456,H,49.67261486777684,3.905453772544861,0.05972873246436026,0.18245412,0.005937762302981316,0.743686274509804,0.4792,0.736,0.00010437146556796506
18000,456,H,49.24785607457277,3.8968658351898195,0.05769672498516007,0.18446498,0.006128670980587357,0.7440392156862745,0.468,0.7256,7.56661975174211e-05
19000,456,H,49.149015004953895,3.8948568058013917,0.057761008187836284,0.18423496,0.006004791387946859,0.7457450980392157,0.4775,0.736,5.0057056796504185e-05
20000,456,H,49.124779407661514,3.894363579750061,0.057839329457750506,0.18436407,0.006005912556402676,0.7462549019607844,0.4714,0.7324,3.611853753682226e-05
