step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac
1000,42,D,342.8839604545713,5.837392082214356,0.010819254491843438,0.14167067,0.0025452912112591706
2000,42,D,181.67699856217803,5.2022303771972656,0.011947621382919014,0.16023941,0.005001044604617152
3000,42,D,135.62508124676035,4.909894323348999,0.013402707735697426,0.1785316,0.005592953548343883
4000,42,D,113.28033413794283,4.729865579605103,0.01182713118721458,0.17932971,0.005924622978537729
5000,42,D,101.85167513016113,4.623517589569092,0.012629418541403365,0.18568857,0.007005193624378349
6000,42,D,92.22780306019516,4.524261636734009,0.012754107063891844,0.19279788,0.006962721588614558
7000,42,D,84.39792549731683,4.435542821884155,0.01158413352218329,0.19874445,0.007847052784789655
8000,42,D,78.67950932677334,4.3653827571868895,0.010739317127302589,0.20083834,0.008225833948968574
9000,42,D,74.18084345240447,4.306505942344666,0.009676991668401984,0.20310043,0.008369639990827791
10000,42,D,71.22962433037758,4.265908803939819,0.010083982841641307,0.20441182,0.008804451899472309
11000,42,D,68.54963351102195,4.227558059692383,0.014825812732472144,0.19965653,0.008924432081594807
12000,42,D,66.3718507552838,4.195273032188416,0.013092749558243097,0.20311518,0.00870589775479479
13000,42,D,64.87574880083501,4.172473883628845,0.013190385313595043,0.20291007,0.008806169425738529
14000,42,D,63.32471557615497,4.14827570438385,0.012719242488636682,0.20463076,0.008739633579516758
15000,42,D,62.62350453000075,4.137140679359436,0.012196985600041411,0.2077349,0.009217434664007275
16000,42,D,61.832424523978965,4.12442789554596,0.012093066290313129,0.20799102,0.009541311379006174
17000,42,D,61.45724015521667,4.1183416509628294,0.012512531261818078,0.20755836,0.009489480653229366
18000,42,D,61.16355187736682,4.1135514545440675,0.011910743732078406,0.20916992,0.009569941549741612
19000,42,D,61.050534800766485,4.11170196056366,0.011764584316926837,0.20909466,0.009536714509798146
20000,42,D,61.03111550384303,4.11138382434845,0.012171582184585866,0.20844327,0.00935350351308754
