step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac
1000,123,C,304.85866046207207,5.719848260879517,0.006829619014964377,0.15659669,0.003911334656067939
2000,123,C,156.33402820013708,5.051994924545288,0.013021478559456621,0.17802848,0.00576078823474881
3000,123,C,115.15305312842196,4.746262140274048,0.010114482197107056,0.18277219,0.006175613476046518
4000,123,C,93.2589479608279,4.535380010604858,0.012658767195308913,0.20596647,0.007740251401132073
5000,123,C,79.51985179553962,4.376006698608398,0.008406082041123331,0.2075649,0.008907228229937393
6000,123,C,71.23929072646729,4.266044502258301,0.008695344868828258,0.21143344,0.009417610353593713
7000,123,C,65.91789158674219,4.188409900665283,0.012348239337696758,0.22083335,0.01107635318910011
8000,123,C,61.44078168714757,4.118073811531067,0.014094072024027507,0.2279865,0.011312783371606901
9000,123,C,59.03757916897989,4.078174176216126,0.010802700341916553,0.22524513,0.010871652461631635
10000,123,C,55.898250993730635,4.023533091545105,0.010173614184061682,0.22825676,0.011945036438695062
11000,123,C,54.411971614328834,3.9965841960906983,0.013967578308255053,0.23331112,0.012990219920831493
12000,123,C,52.961000714334496,3.9695558071136476,0.012213403701782227,0.23299968,0.012574886262969024
13000,123,C,51.67098065411181,3.944896321296692,0.01346042397442987,0.2354003,0.012343632253202712
14000,123,C,51.08867488773519,3.933562846183777,0.016200260667239914,0.24034129,0.013137627978617377
15000,123,C,49.929193376415704,3.910605869293213,0.013794586948319983,0.23774333,0.012929498214136756
16000,123,C,49.387412183371694,3.89969557762146,0.013482365327722883,0.23767708,0.012884171525753158
17000,123,C,48.98550013575983,3.891524338722229,0.01486982289482566,0.24017689,0.013032264936132012
18000,123,C,48.68464621282857,3.885363707542419,0.013303035044202613,0.23875873,0.013247352432868661
19000,123,C,48.69249432505795,3.8855248975753782,0.013465486956577677,0.23967431,0.01320177241788863
20000,123,C,48.6362454601752,3.884369044303894,0.01329648754643461,0.23916845,0.01316370502337338
