step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac
1000,42,A,312.65098248112906,5.7450874964396155,0.00614428601233788,0.15020825,0.004291305783045412
2000,42,A,161.3132071138053,5.083347860972086,0.011142538575565113,0.1747454,0.005771497174830104
3000,42,A,119.28884827131392,4.781547848383585,0.011946305013170419,0.18697055,0.006020789832560929
4000,42,A,95.89612686491462,4.563265593846639,0.010697705792445755,0.19274965,0.006756325718693275
5000,42,A,83.30779936795368,4.422542174657186,0.010219468197791404,0.20721672,0.008800326683277012
6000,42,A,74.77202210571804,4.314443778991699,0.011249744190889243,0.21436924,0.009494031039791071
7000,42,A,69.17956460407243,4.236705509821574,0.011928836566949982,0.21727946,0.010409492393760347
8000,42,A,65.1758156968071,4.177088475227356,0.006761851809383222,0.21503294,0.009853985721154724
9000,42,A,62.082584170561105,4.128465501467387,0.010532903608933004,0.22207978,0.011169179681038127
10000,42,A,59.80985448688679,4.091170438130697,0.00928188891192667,0.22119269,0.01123879511238795
11000,42,A,57.56281203092883,4.052876734733582,0.010134012465383493,0.21882035,0.011538485372398108
12000,42,A,55.98837079650387,4.025144004821778,0.010145731502109104,0.22380309,0.011660085196355835
13000,42,A,54.689176664994434,4.001665822664896,0.010535135611989136,0.22001997,0.011673127461812644
14000,42,A,53.421121708174844,3.978206205368042,0.009906606113209458,0.22078383,0.011054187438935792
15000,42,A,52.69596274858269,3.964538844426473,0.009936329586053982,0.22391325,0.011860139508893535
16000,42,A,52.062225629928705,3.9524396498998007,0.008938549359639482,0.22634149,0.012151532313888365
17000,42,A,51.62684230400974,3.9440417369206746,0.009583843985414202,0.22513232,0.01222715676084286
18000,42,A,51.33805490424476,3.938432288169861,0.009281806821137462,0.22656359,0.012303968534113257
19000,42,A,51.22811893829564,3.936288579305013,0.009031256569756391,0.22627151,0.012146361767339783
20000,42,A,51.20224416275007,3.935783362388611,0.009274618859384583,0.2260004,0.012148660241207044
