group,perplexity_mean,perplexity_std,ece_mean,ece_std,conf_on_errors_mean,conf_on_errors_std,high_conf_error_frac_mean,high_conf_error_frac_std
A,51.212570297089236,0.2797713014579286,0.009270800609214567,0.00024230922712831568,0.22651847666666666,0.00046943587595467905,0.012179171800012364,0.0001108209466065894
B,49.83125924508706,0.25600889111341646,0.009184021108290667,0.00044366434338051144,0.2307331166666667,0.00200932295953969,0.0131030377810335,0.0004685108825440271
C,49.18213700058806,0.9355602772083561,0.0130316230165153,0.0008393882687459557,0.2395556466666667,0.0004103186196522609,0.012951372082060897,0.00027808981015286854
D,61.1108489574834,0.161441014359068,0.0126438307668648,0.0006794261262306349,0.20724889999999999,0.001125726948642533,0.009565832701580299,0.0003007331800576676
H,49.14604917498293,0.1332030842066804,0.057446540720322535,0.0015060379477662893,0.18433806,0.0008469545909315204,0.005970024614259867,0.00047790179544736475
